# of VUs,Log Lines / Minute,Number of High Latency Responses,P(99) (ms)
10,422430,0,5
25,430435,0,12
35,420111,64,17
50,417663,1607,26
75,402870,13899,42
100,394855,52674,54
150,376566,165734,72
200,370904,3709049,90
