# of VUs,Log Lines / Minute,Number of High Latency Responses,P(99) (ms)
10,638682,0,12
25,625875,1188,34
35,611377,11731,50
50,587181,52080,81
75,548516,158661,148
100,526968,274525,222
150,503168,402862,344
200,458266,423354,453			
