# of VUs,Log Lines / Minute,Number of High Latency Responses,P(99) (ms)
10,662389,2,16
25,625668,8818,55
35,606923,36936,92
50,580489,97266,164
75,578511,146963,295
100,566747,160957,430
150,531117,186253,602
200,506960,217344,717
